title,home,codes,keywords,classification,subjects
Invertebrate Survival Journal,http://www.isj.unimo.it/index.php/ISJ,isj,"developmental and comparative immunobiology, innate immunity, evolution, zoology",QH301-705.5,Science: Biology (General)
Baltic Journal of Economic Studies,http://www.baltijapublishing.lv/index.php/issue,issue,"economics, business management, national economy, management, marketing, finance",HD72-88,"Social Sciences: Industries. Land use. Labor: Economic growth, development, planning"
Italian Journal of Planning Practice,http://www.ijpp.it/index.php/it,it,"italian planning practice, planning education, urban planning, city planning, land use planning, italy",NA9000-9428,Fine Arts: Architecture: Aesthetics of cities. City planning and beautifying
Information Technology and Libraries,https://ejournals.bc.edu/index.php/ital,ital,"library and information science, library automation, information technology, digital libraries",Z,Bibliography. Library science. Information resources
Indonesian TESOL Journal,http://ejournal.iainpalopo.ac.id/index.php/ITJ,itj,"english language teaching and learning, foreign language, second language, english language teachers' training and education",PE1-3729,Language and Literature: English language
IT Journal Research and Development,https://journal.uir.ac.id/index.php/ITJRD,itjrd,"artificial intelligence, internet of things, social informatics, service computing",QA76.75-76.765|T58.5-58.64|TK7885-7895,Science: Mathematics: Instruments and machines: Electronic computers. Computer science: Computer software | Technology: Technology (General): Industrial engineering. Management engineering: Information technology | Technology: Electrical engineering. Electronics. Nuclear engineering: Electronics: Computer engineering. Computer hardware
JABE (Journal of Accounting and Business Education),http://journal2.um.ac.id/index.php/jabe,jabe,"accounting, business education",HF5601-5689,Social Sciences: Commerce: Business: Accounting. Bookkeeping
Journal of Applied Botany and Food Quality,https://ojs.openagrar.de/index.php/JABFQ,jabfq,"plant food quality, plant nutrition, plant cultivation, plant breeding, plant stress, phytomedicine",SB1-1110|QK1-989,Agriculture: Plant culture | Science: Botany
Journal of Algebra Combinatorics Discrete Structures and Applications,http://jacodesmath.com/index.php/jacodesmath,jacodesmath,"algebraic coding theory, cryptography, algebraic combinatorics, design theory, graph theory",QA1-939,Science: Mathematics
Journal of Arthropod-Borne Diseases,http://jad.tums.ac.ir/index.php/jad,jad,"vector ecology, epidemiology, parasitology, toxicology",RB1-214,Medicine: Pathology
Journal of Advances in Vehicle Engineering,http://www.jadve.com/index.php/jadve,jadve,"energy harvesting, terramechanics, vehicle dynamics, railway engineering, fuel science",TF1-1620|TL1-4050,Technology: Railroad engineering and operation | Technology: Motor vehicles. Aeronautics. Astronautics
Journal of Advanced Engineering and Computation,http://jaec.vn/index.php/JAEC,jaec,"advanced engineering, computational science",TK7885-7895|TA1-2040,Technology: Electrical engineering. Electronics. Nuclear engineering: Electronics: Computer engineering. Computer hardware | Technology: Engineering (General). Civil engineering (General)
Journal of Applied Engineering and Technological Science,https://journal.yrpipku.com/index.php/jaets,jaets,"engineering, information technology, computer science, electrical engineering, civil engineering, industrial engineering",TA1-2040|T1-995,Technology: Engineering (General). Civil engineering (General) | Technology: Technology (General)
Journal of Applied Food Technology,https://ejournal2.undip.ac.id/index.php/jaft,jaft,"food technology, food quality, food safety, food service management, traditional foods",S|TP368-456,Agriculture | Technology: Chemical technology: Food processing and manufacture
Journal of Applied Hermeneutics,https://journalhosting.ucalgary.ca/index.php/jah,jah,"hermeneutics, education, nursing, social work, philosophy",B1-5802,Philosophy. Psychology. Religion: Philosophy (General)
Journal of African Languages and Literatures,http://www.serena.unina.it/index.php/jalalit,jalalit,"afroasiatic, niger-congo, nilo-saharan, african literatures, african linguistics, african languages",PL1-8844,"Language and Literature: Languages and literature of Eastern Asia, Africa, Oceania"
JALL (Journal of Applied Linguistics and Literacy),https://jurnal.unigal.ac.id/index.php/jall,jall,"language pedagogy, language teacher education, language testing and assessment, second language acquisition, pragmatics in language education, discourse analysis",P101-410|LB5-3640,Language and Literature: Philology. Linguistics: Language. Linguistic theory. Comparative grammar | Education: Theory and practice of education
"Jurnal Akuntansi, Manajemen dan Ekonomi",http://jos.unsoed.ac.id/index.php/jame,jame,"management, accounting, economic studies, financial management",HD28-70|HD72-88,"Social Sciences: Industries. Land use. Labor: Management. Industrial management | Social Sciences: Industries. Land use. Labor: Economic growth, development, planning"
Journal of Agricultural and Marine Sciences,https://journals.squ.edu.om/index.php/jams,jams,"marine science, agricultural sciences, marine sciences, veterinary sciences",SH1-691|S1-972,Agriculture: Aquaculture. Fisheries. Angling | Agriculture: Agriculture (General)
Journal of Advanced Manufacturing Technology,http://journal.utem.edu.my/index.php/jamt,jamt,"industrial automation and robotics, manufacturing process, technology and design, industrial automation and robotics, technology management and entrepreneurship, automotive engineering and energy",T55.4-60.8|TS1-2301,Technology: Technology (General): Industrial engineering. Management engineering | Technology: Manufactures
Animal Production,http://animalproduction.id/index.php/JAP,jap01,"animal production, animal breeding, animal behaviour, farm animals, livestock",SF1-1100,Agriculture: Animal culture
Journal of Anaesthesia and Pain,https://jap.ub.ac.id/index.php/jap,jap02,"anesthesiology, pain management, intensive care",R,Medicine
Journal of African Real Estate Research,https://journals.uct.ac.za/index.php/JARER,jarer,"real estate, property, housing, development",HD1361-1395.5,Social Sciences: Industries. Land use. Labor: Land use: Real estate business
Journal of Asian Rural Studies,http://pasca.unhas.ac.id/ojs/index.php/jars,jars,"rural studies, rural development, indigenous knowledge, rural politics, socioeconomics, asia",HD2330|HD72-88|HT51-65,"Social Sciences: Industries. Land use. Labor: Industry: Rural industries | Social Sciences: Industries. Land use. Labor: Economic growth, development, planning | Social Sciences: Communities. Classes. Races: Human settlements. Communities"
Journal of Applied Research in Technology & Engineering,https://polipapers.upv.es/index.php/JARTE,jarte,"chemical engineering, electrical engineering, manufacturing and mechanical engineering, materials engineering, textile engineering",T,Technology
Journal of ASEAN Studies,https://journal.binus.ac.id/index.php/jas,jas,"diplomacy, political economy, national development, geopolitics, social change, transnational movement",J|H53,Political science | Social Sciences: Social sciences and state - Asia (Asian studies only)
Journal of Applied Studies in Language,http://ojs.pnb.ac.id/index.php/JASL,jasl,"phonology, morphology, syntax, semantics, pragmatics, discourse",P|P1-1091,Language and Literature: Philology. Linguistics
Journal of Asian Social Science Research,https://cassr.net/jassr/index.php/jassr,jassr,"political science, social sciences, sociology, public administration, islamic studies, media studies",H,Social Sciences
Havacılık ve Uzay Teknolojileri Dergisi,https://jast.hho.msu.edu.tr/index.php/JAST,jast,"aeronautics, space, engineering, material science, computer sciences, electronics",T|TL1-4050,Technology: Motor vehicles. Aeronautics. Astronautics
Journal of Applied Sciences in Travel and Hospitality,http://ojs.pnb.ac.id/index.php/JASTH,jasth,"travel, hospitality, tourism, transportation, destination, (meetings",HF5001-6182,Social Sciences: Commerce: Business
Journal of Audiovisual Translation,https://jatjournal.org/index.php/jat,jat,"audiovisual translation, media accessibility, translation studies, linguistics",P306-310,Language and Literature: Philology. Linguistics: Language. Linguistic theory. Comparative grammar: Translating and interpreting
Journal of Business Anthropology,https://rauli.cbs.dk/index.php/jba,jba,"business anthropology, anthropology, business, ethnography, corporate ethnography, organizational anthropology",GN301-674|HF5001-6182,Geography. Anthropology. Recreation: Anthropology: Ethnology. Social and cultural anthropology | Social Sciences: Commerce: Business
RADS Journal of Biological Research & Applied Science,http://jbas.juw.edu.pk/index.php/JBAS,jbas,"biological sciences, medical sciences, environmental sciences, health sciences, life sciences",R|QH301-705.5,Medicine | Science: Biology (General)
Journal of Baghdad College of Dentistry,https://jbcd.uobaghdad.edu.iq/index.php/jbcd,jbcd,"dental, restorative dentistry, dental implants, periodontology, orthodontic, oral and maxillofacial surgery",RK1-715,Medicine: Dentistry
Journal of the Brazilian Computer Society,https://sol.sbc.org.br/journals/index.php/jbcs,jbcs,"computer science, computer systems",TK7885-7895|QA75.5-76.95,Technology: Electrical engineering. Electronics. Nuclear engineering: Electronics: Computer engineering. Computer hardware | Science: Mathematics: Instruments and machines: Electronic computers. Computer science
Journal of Biology and Earth Sciences,http://www.journals.tmkarpinski.com/index.php/jbes,jbes,"biomedical sciences, botany, zoology, geology, geography, earth sciences",QH301-705.5,Science: Biology (General)
Jurnal Bisnis dan Manajemen,http://journal.feb.unpad.ac.id/index.php/jbm,jbm,"entrepreunership, marketing, business, management, finance",HF1-6182,Social Sciences: Commerce
Journal of Building Materials and Structures,http://journals.lagh-univ.dz/index.php/jbms,jbms,"building material, microstructure, engineering structure",TH1-9745,Technology: Building construction
Journal of Business Strategies,https://jbs-ojs-shsu.tdl.org/jbs/index.php/jbs,jbs,"business, economics, management, marketing, accounting, human resources",HF5001-6182,Social Sciences: Commerce: Business
Journal of Bangladesh Society of Physiologists,http://www.banglajol.info/index.php/JBSP,jbsp,physiology,QP1-981,Science: Physiology
Journal of Biomedicine and Translational Research,http://ejournal2.undip.ac.id/index.php/jbtr,jbtr,"medicine, molecular, tropical, infectious diseases, cardiovascular, genetics",R5-920,Medicine: Medicine (General)
Journal of Cancer and Allied Specialties,http://journals.sfu.ca/jcas/index.php/jcas,jcas,"chemotheraphy, cancer management, cancer epidemiology, cancer diagnostics, cancer, immunology",RC254-282,Medicine: Internal medicine: Neoplasms. Tumors. Oncology. Including cancer and carcinogens
Journal of Circulating Biomarkers,https://journals.aboutscience.eu/index.php/jcb,jcb,"circulating biomarkers, extracellular vesicles, circulating cell-free dna (cfdna), exosomes, circulating tumour cells (ctc), cancer",RC254-282,Medicine: Internal medicine: Neoplasms. Tumors. Oncology. Including cancer and carcinogens
Journal of Current Biomedical Reports,https://jcbior.com/index.php/JCBioR,jcbior,"biomedical, bacteriology, virology, pharmacology, biotechnology, epidemiology",Q|R,Science | Medicine
Journal of Construction Business and Management,https://journals.uct.ac.za/index.php/jcbm,jcbm,"construction project management, construction business, construction health and safety practices, built environment professional work, contractors risk attitude",HF5735-5746,Social Sciences: Commerce: Business: Business records management
Journal of Controversies in Biomedical Research,http://jcbmr.com/index.php/jcbmr,jcbmr,"biomedical research, controversies, irreproducibility, research transparency",Q|QH301-705.5,Science: Biology (General)
Journal of Communication and Cultural Trends,https://journals.umt.edu.pk/index.php/jcct,jcct,"applied linguistics, linguistics, intercultural communication, communication",P101-410|P95-95.6,Language and Literature: Philology. Linguistics: Language. Linguistic theory. Comparative grammar | Language and Literature: Philology. Linguistics: Communication. Mass media: Oral communication. Speech
Journal of Clinical & Developmental Psychology,http://cab.unime.it/journals/index.php/JCDP,jcdp,"psychology, clinical psychology, developmental psychology, healt psychology",R|BF1-990,Medicine | Philosophy. Psychology. Religion: Psychology
"Journal of Childhood, Education & Society",https://www.j-ces.com/index.php/jces,jces,"pedagogical & educational research, interdisciplinary research in the social sciences, social sciences",L7-991,Education: Education (General)
"Journal of Civil Engineering, Science and Technology",http://publisher.unimas.my/ojs/index.php/JCEST,jcest,"civil engineering, environmental engineering",TA1-2040,Technology: Engineering (General). Civil engineering (General)
Journal of Chemical Health Risks,http://www.jchr.org/index.php/JCHR,jchr,"toxicology, mineral agents, organic agents, environmental analysis, analytical chemistry, pharmacology",RA1190-1270,Medicine: Public aspects of medicine: Toxicology. Poisons
Journal of Contemporary Issues in Education,https://ejournals.library.ualberta.ca/index.php/JCIE,jcie,"education, social justice, inclusive education, international education, sustainability, education policy",LC8-6691,Education: Special aspects of education
Journal of Child Language Acquisition and Development,http://science-res.com/index.php/jclad,jclad,"child language development, first language acquisition, language acquisition, linguistics, speech therapy, audiology",LC8-6691|P118-118.7,Education: Special aspects of education | Language and Literature: Philology. Linguistics: Language. Linguistic theory. Comparative grammar: Language acquisition
S: Journal of the Circle for Lacanian Ideology Critique,http://www.lineofbeauty.org/index.php/S,jcli,"cultural studies, psychoanalysis, literary theory",BF1-990,Philosophy. Psychology. Religion: Psychology
Journal of Chitwan Medical College,https://www.jcmc.com.np/jcmc/index.php/jcmc,jcmc,"medicine, public health, nursing, health sciences",R5-920,Medicine: Medicine (General)
Journal of Contemporary Medical Sciences,http://www.jocms.org/index.php/jcms,jcms,medical sciences,R5-920,Medicine: Medicine (General)
Journal of College of Medical Sciences-Nepal,http://www.nepjol.info/index.php/JCMSN,jcmsn,"medicine, healthcare, medical education",R5-920,Medicine: Medicine (General)
"Journal of College Orientation, Transition, and Retention",https://pubs.lib.umn.edu/index.php/jcotr,jcotr,"higher education, student retention, teaching, learning, student orientation",L7-991,Education: Education (General)
Journal of Computing Research and Innovation,https://crinn.conferencehunter.com/index.php/jcrinn,jcrinn,"computer science, information technology, applied mathematics, statistics",QA273-280|T|T1-995,Science: Mathematics: Probabilities. Mathematical statistics | Technology: Technology (General)
The Journal of Cetacean Research and Management,https://journal.iwc.int/index.php/jcrm,jcrm,"marine mammals, cetaceans, dolphins, fisheries, whales, cetacean conservation",QH1-199.5|QH301-705.5,"Science: Natural history (General): General. Including nature conservation, geographical distribution | Science: Biology (General)"
Journal of Childhood Studies,https://journals.uvic.ca/index.php/jcs,jcs,"pedagogy, politics of childhood, childhood studies",L|HQ1-2044,Education | Social Sciences: The family. Marriage. Woman
iRASD Journal of Computer Science and Information Technology,https://journals.internationalrasd.org/index.php/jcsit,jcsit,"computer science, information technology, data mining, network security",QA75.5-76.95,Science: Mathematics: Instruments and machines: Electronic computers. Computer science
Journal of Comparative Social Work,https://journals.uis.no/index.php/JCSW,jcsw,"welfare systems, public service",HV1-9960,Social Sciences: Social pathology. Social and public welfare. Criminology
Journal of Culture and Values in Education,https://cultureandvalues.org/index.php/JCV,jcv,"education, multicultural education, cross-cultural learning, comparative education, cultural studies",LC8-6691,Education: Special aspects of education
Dental Anthropology,http://journal.dentalanthropology.org/index.php/jda,jda,"dental variation, human dentition, primate dentition, dental morphology, dentistry, dental anthropology",RK1-715|GN49-298,Medicine: Dentistry | Geography. Anthropology. Recreation: Anthropology: Physical anthropology. Somatology
Journal of Dynamic Decision Making,https://journals.ub.uni-heidelberg.de/index.php/jddm,jddm,"decision making, cognition, psychology, economics, system dynamics, philosophy",B,Philosophy. Psychology. Religion
Journal of Dentistry of Tehran University of Medical Sciences,https://jdt.tums.ac.ir/index.php/jdt,jdt,"odontology, oral health",RK1-715,Medicine: Dentistry
Journal of the Dow University of Health Sciences,http://www.jduhs.com/index.php/jduhs,jduhs,"medicine, dentistry, biomedical science, public health, medical education",R,Medicine
JDVI (Journal of General Procedural Dermatology & Venereology Indonesia),http://jgenprodvi.ui.ac.id/index.php/jdvi,jdvi,"dermatology, venereology, medicine, dermatovereology",RL1-803,Medicine: Dermatology
Journal of Entomological and Acarological Research,https://www.pagepressjournals.org/index.php/jear,jear,entomology,QL1-991,Science: Zoology
"Journal of Economics, Business & Accountancy",https://journal.perbanas.ac.id/index.php/jebav,jebav,"economics, accounting, business, management, banking",HF5001-6182|HB71-74,Social Sciences: Commerce: Business | Social Sciences: Economic theory. Demography: Economics as a science
Journal of Extension Education,http://extensioneducation.org/index.php/jee,jee,"communication, adult education, rural development, information and communication technology, training, extension education",LC8-6691,Education: Special aspects of education
Journal of Eastern European and Central Asian Research,https://ieeca.org/journal/index.php/JEECAR,jeecar,"economics, management, finance, marketing, business, eurasia",HF5001-6182,Social Sciences: Commerce: Business
Journal of Electrical and Electronics Engineering,http://electroinf.uoradea.ro/index.php/jeee.html,jeee,"electrical engineering, electronics, telecommunications",TK1-9971,Technology: Electrical engineering. Electronics. Nuclear engineering
"Journal of Electronics, Electromedical Engineering, and Medical Informatics",http://jeeemi.org/index.php/jeeemi,jeeemi,"electronics, biomedical engineering, medical informatics",TK7800-8360|R858-859.7,Technology: Electrical engineering. Electronics. Nuclear engineering: Electronics | Medicine: Medicine (General): Computer applications to medicine. Medical informatics
Journal of Emerging Economies and Islamic Research,https://myjms.mohe.gov.my/index.php/JEEIR,jeeir,"business, economics, finance, islamic economics, emerging markets, management",HF5001-6182|HG1-9999,Social Sciences: Commerce: Business | Social Sciences: Finance
JEELS (Journal of English Education and Linguistics Studies),https://jurnal.iainkediri.ac.id/index.php/jeels,jeels,"elt, english education, linguistics, literature",L7-991|PE1-3729,Education: Education (General) | Language and Literature: English language
JEES (Journal of English Educators Society),http://ojs.umsida.ac.id/index.php/jees,jees,"english teaching, english literature, english linguistics",L7-991|PE1-3729,Education: Education (General) | Language and Literature: English language
"JEET, Journal of English Education and Technology",http://jeet.fkdp.or.id/index.php/jeet,jeet,"education, technology, english, media, curriculum",LC8-6691,Education: Special aspects of education
International Journal of Experiential Learning & Case Studies,http://journals.iobmresearch.com/index.php/JELCS,jelcs,"case studies, business management, marketing",L,Education
Jurnal Of English Language And Education,http://ejurnal.mercubuana-yogya.ac.id/index.php/jele,jele,"interpersonal negotiation, needs analysis, r&d, addie, curriculum",L7-991|PE1-3729,Education: Education (General) | Language and Literature: English language
Journal of English Language Studies,https://jurnal.untirta.ac.id/index.php/JELS,jels,"english education, english literature, linguistics",P,Language and Literature
Jema: Jurnal Ilmiah Bidang Akuntansi dan Manajemen,http://riset.unisma.ac.id/index.php/jema,jema,"management, economics, accounting, marketing, finance",HF5001-6182|HG1-9999,Social Sciences: Commerce: Business | Social Sciences: Finance
Journal of Enam Medical College,http://www.banglajol.info/index.php/JEMC,jemc,"medical sciences, epidemiology, clinical medicine, therapeutics, public health, diagnostics",R,Medicine
"JEMMME (Journal of Energy, Mechanical, Material, and Manufacturing Engineering)",https://ejournal.umm.ac.id/index.php/JEMMME,jemmme,"energy, mechanical engineering, applied mechanics, materials science, manufacturing processes",TA401-492|TJ1-1570,Technology: Electrical engineering. Electronics. Nuclear engineering: Materials of engineering and construction. Mechanics of materials | Technology: Mechanical engineering and machinery
Journal of Environmental Geography,https://ojs.bibl.u-szeged.hu/index.php/jengeo,jengeo,"earth sciences, landscape ecology, environmental change, antropogenic influence, processes and morphology",GE1-350,Geography. Anthropology. Recreation: Environmental sciences
Economic Journal of Emerging Markets,https://journal.uii.ac.id/index.php/JEP,jep,"economics, developing countries, emerging markets, development economics, international trade",HD72-88|HT388,"Social Sciences: Industries. Land use. Labor: Economic growth, development, planning | Social Sciences: Communities. Classes. Races: Urban groups. The city. Urban sociology: Regional economics. Space in economics"
Journal of ELT Research,http://journal.uhamka.ac.id/index.php/jer,jer,"tesol, teaching strategies, testing and assessment, applied linguistics and literature, ict in elt",L7-991|PE1-3729,Education: Education (General) | Language and Literature: English language
Journal of Engineering Research and Technology,https://journals.iugaza.edu.ps/index.php/JERT,jert,"electrical engineering, mechanical engineering, computer engineering, information technology, communication engineering, industrial engineering",T|TA1-2040,Technology: Engineering (General). Civil engineering (General)
Journal of Educational Studies,https://publications.uadventus.ro/index.php/jes,jes01,"education, quantitative research in education, qualitative research in education, teacher training, teaching methods",L7-991|LB5-3640,Education: Education (General) | Education: Theory and practice of education
Journal of Engineering Science,https://www.banglajol.info/index.php/JES,jes02,"engineering, sciences, social sciences",TA1-2040,Technology: Engineering (General). Civil engineering (General)
Journal of Evolutionary Studies in Business,http://revistes.ub.edu/index.php/JESB,jesb,"evolutionary studies, business dynamics",HF5001-6182,Social Sciences: Commerce: Business
Journal of Environmental and Science Education,https://journal.unnes.ac.id/sju/index.php/jese,jese01,"environmental sciences, environmental education, science curriculum, science, education, teaching",GE1-350|TD1-1066,Geography. Anthropology. Recreation: Environmental sciences | Technology: Environmental technology. Sanitary engineering
Journal of Electrochemical Science and Engineering,https://www.pub.iapchem.org/ojs/index.php/JESE,jese02,"physical chemistry, electrochemistry, electrochemical engineering, materials science",QD1-999,Science: Chemistry
Journal of Effective Teaching in Higher Education,https://jethe.org/index.php/jethe,jethe,"scholarship of teaching and learning, teaching practices, praxis",LB5-3640,Education: Theory and practice of education
ITEGAM-JETIA,https://itegam-jetia.org/journal/index.php/jetia,jetia,"engineering, computing, environment, biotechnology",T|T1-995|Q1-390,Technology: Technology (General) | Science: Science (General)
"Journal Of Education, Teaching and Learning",http://journal.stkipsingkawang.ac.id/index.php/JETL,jetl,"education, teaching, learning",L|L7-991,Education: Education (General)
Journal of Engineering and Technological Sciences,http://journals.itb.ac.id/index.php/jets,jets,"chemical engineering, electrical engineering, environmental engineering, industrial engineering, information engineering, mechanical engineering",TA1-2040,Technology: Engineering (General). Civil engineering (General)
Journal of Fundamental and Applied Pharmaceutical Science,https://journal.umy.ac.id/index.php/jfap,jfap,"pharmaceutical, pharmacology, medicinal herb, toxicology, drug discovery, biotechnology",RM1-950,Medicine: Therapeutics. Pharmacology
Journal of Facade Design and Engineering,https://jfde.eu/index.php/jfde,jfde,"architecture, building, engineering, facade design, management",NA1-9428|TH1-9745,Fine Arts: Architecture | Technology: Building construction
Journal for Economic Educators,https://libjournals.mtsu.edu/index.php/jfee,jfee,"economics, finance, education",HG1-9999|LB5-3640,Social Sciences: Finance | Education: Theory and practice of education
Journal of Family Research,https://ubp.uni-bamberg.de/jfr/index.php/jfr,jfr,"family, family studies, family research, family life, intimate relationships, life courses",HQ1-2044,Social Sciences: The family. Marriage. Woman
The Journal of Forensic Science Education,https://jfse-ojs-tamu.tdl.org/jfse/index.php/jfse,jfse,"forensic science education, forensic sciences",LC8-6691|RA1-1270,Education: Special aspects of education | Medicine: Public aspects of medicine
Jurnal Farmasi Sains dan Komunitas,http://e-journal.usd.ac.id/index.php/JFSK,jfsk,"pharmacy, pharmaceutical sciences, clinical pharmacy, community pharmacy, regulatory affairs",RS1-441,Medicine: Pharmacy and materia medica
"JGEET: Journal of Geoscience, Engineering, Environment and Technology",http://journal.uir.ac.id/index.php/JGEET,jgeet,"geoscience, engineering, environment, technology, geology",T1-995|QE1-996.5,Technology: Technology (General) | Science: Geology
Journal of Green Learning,https://journal.gmpionline.com/index.php/jgl,jgl,"education, social sciences, learning, humanities, cultural studies",L,Education
"Journal of Geography, Politics and Society",https://czasopisma.bg.ug.edu.pl/index.php/JGPS,jgps,"geography, politics, society, post-communist countries, economics",G1-922|J,Geography. Anthropology. Recreation: Geography (General) | Political science
Journal of Governance Risk Management Compliance and Sustainability,https://journals.researchsynergypress.com/index.php/jgrcs,jgrcs,"risk assessment, compliance, governance, sustainability, risk characterisation, risk management",HD61,Social Sciences: Industries. Land use. Labor: Management. Industrial management: Risk in industry. Risk management
Journal of Government and Civil Society,http://jurnal.umt.ac.id/index.php/jgs,jgs,"government, civil society, public policy, governance, political science",J,Political science
"Journal of Human Rights, Culture and Legal System",https://www.jhcls.org/index.php/JHCLS,jhcls,"criminal law, civil law, international law, agrarian law, administrative law, environmental law",K520-5582|JZ2-6530,Law: Law in general. Comparative and uniform law. Jurisprudence: Comparative law. International uniform law | Political science: International relations
Journal of Health and Caring Sciences,https://journalofhealthandcaringsciences.org/index.php/jhcs,jhcs,"nursing, caring, public health",RT1-120,Medicine: Nursing
Journal of Horticultural Sciences,https://jhs.iihr.res.in/index.php/jhs,jhs,"horticulture, plant protection, floriculture, olericulture, fruit science",SB1-1110,Agriculture: Plant culture
Jurnal Sylva Lestari,https://sylvalestari.fp.unila.ac.id/index.php/JHT,jht,"agroforestry, natural resources, forest management, wood science, biodiversity conservation, timber technology",SD1-669.5,Agriculture: Forestry
Journal of Health Technology Assessment in Midwifery,https://ejournal.unisayogya.ac.id/ejournal/index.php/JHTAM,jhtam,"midwifery, medical technology, health technology, maternity care",R855-855.5|RG1-991,Medicine: Medicine (General): Medical technology | Medicine: Gynecology and obstetrics
Journal of Innovative Applied Mathematics and Computational Sciences,http://jiamcs.centre-univ-mila.dz/index.php/jiamcs,jiamcs,"applied mathematics, differential equations, dynamical systems, fractional calculus, numerical analysis, probability and statistics",QA273-280|QA71-90,Science: Mathematics: Probabilities. Mathematical statistics | Science: Mathematics: Instruments and machines
ITB Journal of Information and Communication Technology,http://journals.itb.ac.id/index.php/jictra,jictra,"information technology, communication technology",T58.5-58.64,Technology: Technology (General): Industrial engineering. Management engineering: Information technology
"The Journal of Intelligence, Conflict and Warfare",https://jicw.org/index.php/jicw,jicw,"security, intelligence, defence, extremism, cybersecurity, warfare",JZ2-6530,Political science: International relations
Journal of Ideas in Health,http://www.jidhealth.com/index.php/jidhealth,jidhealth,"medicine, health",R|R5-920,Medicine: Medicine (General)
Journal of Innovation in Educational and Cultural Research,http://jiecr.org/index.php/jiecr,jiecr,"education, cultural studies, learning, teaching",L,Education
Jurnal Informatika,http://www.journal.uad.ac.id/index.php/JIFO,jifo,"informatics, computer science, ict, information technology",QA75.5-76.95,Science: Mathematics: Instruments and machines: Electronic computers. Computer science
Journal of Islamic International Medical College,https://journals.riphah.edu.pk/index.php/jiimc,jiimc,"biomedical, medicine, health professions, medical education, public health",R,Medicine
JILS (Journal of Indonesian Legal Studies),https://journal.unnes.ac.id/sju/index.php/jils,jils,"legal studies, law studies, law, justice, criminal law",K,Law
Journal of Innovation Management,https://journalsojs3.fe.up.pt/index.php/jim,jim,"innovation, technology, management",HD28-70|HD45-45.2,Social Sciences: Industries. Land use. Labor: Management. Industrial management: Technological innovations. Automation
Journal of Islamabad Medical and Dental College,https://jimdc.org.pk/index.php/JIMDC,jimdc,"medicine, dentistry, health, nursing, physiotheraphy",R,Medicine
Journal of Islamic Monetary Economics and Finance,http://jimf-bi.org/index.php/JIMF,jimf,"islamic monetary policy, islamic economics, islamic finance, financial inclusion, waqf",BP1-253|HG1-9999,"Philosophy. Psychology. Religion: Islam. Bahai Faith. Theosophy, etc.: Islam | Social Sciences: Finance"
Journal of Information and Organizational Sciences,http://jios.foi.hr/index.php/jios,jios,"information science, computer science, information technology",Q350-390,Science: Science (General): Cybernetics: Information theory
Ilmu Kelautan,https://ahlimedia.com/jurnal/index.php/jira,jira,"marine science, oceanography, conservation",GC1-1581|QH301-705.5,Geography. Anthropology. Recreation: Oceanography | Science: Biology (General)
Journal of International Students,http://ojed.org/index.php/jis,jis,"international education, higher education, comparative studies, social science research, student affairs",LC8-6691,Education: Special aspects of education
Journal of Internet Services and Applications,https://sol.sbc.org.br/journals/index.php/jisa,jisa,"networking, communication, content distribution, internet security, network scalability",TK5101-6720|TK7885-7895,Technology: Electrical engineering. Electronics. Nuclear engineering: Telecommunication | Technology: Electrical engineering. Electronics. Nuclear engineering: Electronics: Computer engineering. Computer hardware
JISAE (Journal of Indonesian Student Assessment and Evaluation),http://journal.unj.ac.id/unj/index.php/jisae,jisae,"education, educational evaluation, psychological assessment, higher education, pedagogy, psychology",L,Education
Journal of Information Security and Cybercrimes Research,https://journals.nauss.edu.sa/index.php/JISCR,jiscr,"computer and network security, cybercrime laws, digital forensics, data science security, multimedia & mobile security, information security",K5000-5582|Q300-390,Law: Law in general. Comparative and uniform law. Jurisprudence: Comparative law. International uniform law: Criminal law and procedure | Science: Science (General): Cybernetics
Journal of Islamic Economic Laws,http://journals.ums.ac.id/index.php/jisel,jisel,"islamic economics, islamic economic laws, sharia economic laws, sharia economics",H,Social Sciences
Journal of Intelligence Studies in Business,https://ojs.hh.se/index.php/JISIB,jisib,"market intelligence, business intelligence, competitive intelligence, markting intelligence, geoeconomics",HF5001-6182,Social Sciences: Commerce: Business
Journal of the Indonesian Tropical Animal Agriculture,http://ejournal.undip.ac.id/index.php/jitaa,jitaa,"animal culture, animal breeding, animal feeding, animal management, animal socioeconomics",SF1-1100|SF600-1100,Agriculture: Animal culture: Veterinary medicine
"Journal of International Trade, Logistics and Law",http://jital.org/index.php/jital,jital,"logistics, law, commerce, international trade",H,Social Sciences
Journal of Islamic Thought and Civilization,https://journals.umt.edu.pk/index.php/JITC,jitc,"islamic studies, comparative religions, qur'anic exegesis, islamic thought, islamic civilization",BP1-253,"Philosophy. Psychology. Religion: Islam. Bahai Faith. Theosophy, etc.: Islam"
JITeCS (Journal of Information Technology and Computer Science),http://jitecs.ub.ac.id/index.php/jitecs,jitecs,"computer science, information technology, computer engineering, information system, smart system, software engineering",T1-995,Technology: Technology (General)
Journal of Injury and Violence Research,http://jivresearch.org/jivr/index.php/jivr,jivr,"traumatology, self-injurious behavior, violence*, wounds and injuries*",R,Medicine
Journal of Islamic World and Politics,https://journal.umy.ac.id/index.php/jiwp,jiwp,"global governance, international security, cultural studies, foreign policy, international studies",J,Political science
